Features,Second Most Features,Actual Value,Detected Value,Total Features,Confidence,Reference Bill Features
72,-1,5,5,1519,1.0,-1
27,-1,100,100,743,1.0,-1
41,-1,100,100,713,1.0,-1
33,-1,100,100,757,1.0,-1
84,-1,100,100,843,1.0,-1
51,-1,100,100,770,1.0,-1
82,-1,100,100,975,1.0,-1
36,-1,100,100,759,1.0,-1
23,-1,0,5,2629,0.9999999539345021,-1
22,-1,0,100,2799,0.9999992688104501,-1
20,-1,0,5,2263,0.9999994885530871,-1
80,-1,5,5,1503,1.0,-1
13,-1,0,50,2227,0.9842784943972666,-1
18,-1,0,5,2207,0.9999905358427787,-1
27,-1,0,10,2530,0.9999999999829928,-1
22,-1,0,5,2641,0.9999997386198569,-1
13,-1,0,10,2179,0.9872167311705595,-1
14,-1,0,100,2150,0.9971158209490746,-1
23,-1,0,5,2556,0.9999999729517652,-1
20,-1,0,50,2643,0.9999937227853227,-1
13,-1,0,100,2103,0.9909154189411415,-1
18,-1,0,5,2225,0.9999893494606941,-1
74,-1,5,5,1583,1.0,-1
30,-1,0,50,2510,0.9999999999999568,-1
31,-1,0,50,2610,0.9999999999999831,-1
14,-1,0,5,2157,0.9970141811580737,-1
12,-1,0,100,2053,0.973018519612809,-1
19,-1,0,5,1955,0.9999997283579203,-1
16,-1,0,5,1884,0.999971910996556,-1
23,-1,0,10,2088,0.9999999994614397,-1
20,-1,0,10,2176,0.9999997324140414,-1
21,-1,0,5,1832,0.9999999978647568,-1
20,-1,0,10,1830,0.9999999856277109,-1
101,-1,5,5,1491,1.0,-1
24,-1,0,5,2011,0.9999999999641391,-1
23,-1,0,5,2162,0.9999999989312293,-1
20,-1,0,5,1912,0.9999999695944065,-1
29,-1,0,10,1786,1.0,-1
26,-1,0,5,2044,0.9999999999990946,-1
28,-1,0,5,2155,0.9999999999999482,-1
27,-1,0,10,2061,0.9999999999998603,-1
22,-1,0,100,2043,0.9999999976438456,-1
23,-1,0,100,2133,0.9999999991802316,-1
32,-1,0,5,2293,1.0,-1
112,-1,5,5,1144,1.0,-1
22,-1,0,10,1763,0.9999999998579013,-1
20,-1,0,10,1741,0.9999999939140765,-1
19,-1,0,100,1652,0.9999999822858437,-1
24,-1,0,10,1743,0.9999999999982474,-1
18,-1,0,50,1925,0.9999987461648555,-1
21,-1,0,100,1913,0.9999999953288525,-1
19,-1,0,10,1681,0.9999999764226877,-1
25,-1,0,10,1651,0.9999999999999395,-1
21,-1,0,100,1893,0.999999996135712,-1
21,-1,0,100,1800,0.9999999984502581,-1
109,-1,5,5,1130,1.0,-1
19,-1,0,100,1651,0.9999999824614644,-1
19,-1,0,100,1779,0.9999999405363517,-1
21,-1,0,100,536,1.0,-1
16,-1,0,100,513,0.9999999999998092,-1
15,-1,0,100,594,0.9999999999705353,-1
14,-1,0,100,499,0.9999999999557939,-1
11,-1,0,100,214,0.9999999999792267,-1
11,-1,0,100,172,0.9999999999981213,-1
19,-1,0,100,615,0.9999999999999994,-1
15,-1,0,100,491,0.9999999999980795,-1
156,-1,5,5,991,1.0,-1
14,-1,0,100,242,0.9999999999999979,-1
12,-1,0,100,194,0.9999999999998165,-1
19,-1,0,100,695,0.9999999999999948,-1
15,-1,0,5,568,0.9999999999844368,-1
10,-1,0,10,277,0.999999991699209,-1
13,-1,0,5,218,0.9999999999999799,-1
12,-1,0,100,580,0.999999935419338,-1
12,-1,0,100,615,0.9999998756676903,-1
21,-1,0,100,585,1.0,-1
14,-1,0,100,520,0.999999999923273,-1
118,-1,5,5,957,1.0,-1
11,-1,0,5,616,0.9999985147094027,-1
13,-1,0,100,535,0.9999999982259238,-1
7,-1,0,5,211,0.9999898737689783,-1
11,-1,0,100,219,0.999999999973264,-1
27,-1,0,100,649,1.0,-1
24,-1,0,100,562,1.0,-1
17,-1,0,100,682,0.9999999999990221,-1
17,-1,0,5,555,0.9999999999999655,-1
16,-1,0,5,298,1.0,-1
12,-1,0,10,237,0.9999999999979781,-1
110,-1,5,5,1535,1.0,-1
22,-1,0,100,685,1.0,-1
18,-1,0,100,567,0.9999999999999974,-1
16,-1,0,100,654,0.9999999999921906,-1
17,-1,0,100,570,0.9999999999999467,-1
9,-1,0,10,233,0.9999999598343893,-1
10,-1,0,5,185,0.9999999998445702,-1
24,-1,0,100,685,1.0,-1
21,-1,0,100,629,1.0,-1
24,-1,0,100,691,1.0,-1
100,-1,5,5,1548,1.0,-1
125,-1,5,5,1422,1.0,-1
133,-1,5,5,1253,1.0,-1
99,-1,10,10,1245,1.0,-1
94,-1,10,10,1358,1.0,-1
66,-1,10,10,1050,1.0,-1
72,-1,10,10,1087,1.0,-1
50,-1,10,10,1077,1.0,-1
51,-1,10,10,1265,1.0,-1
62,-1,10,10,1243,1.0,-1
64,-1,10,10,1058,1.0,-1
74,-1,20,20,991,1.0,-1
27,-1,20,50,726,1.0,-1
38,-1,20,20,742,1.0,-1
84,-1,20,20,932,1.0,-1
65,-1,20,20,1071,1.0,-1
71,-1,20,20,1097,1.0,-1
23,-1,20,100,870,1.0,-1
32,-1,20,100,818,1.0,-1
57,-1,50,100,763,1.0,-1
74,-1,50,10,875,1.0,-1
46,-1,50,50,925,1.0,-1
40,-1,50,50,731,1.0,-1
77,-1,50,50,782,1.0,-1
105,-1,50,50,894,1.0,-1
42,-1,50,50,862,1.0,-1
49,-1,50,50,800,1.0,-1
53,-1,50,10,683,1.0,-1
69,-1,50,10,775,1.0,-1
36,-1,50,50,796,1.0,-1
46,-1,50,50,809,1.0,-1
53,-1,50,5,855,1.0,-1
69,-1,50,50,1033,1.0,-1
36,-1,50,50,912,1.0,-1
39,-1,50,50,829,1.0,-1
61,-1,50,50,848,1.0,-1
84,-1,50,50,945,1.0,-1
50,-1,50,50,901,1.0,-1
61,-1,50,50,920,1.0,-1
66,-1,100,100,782,1.0,-1
78,-1,100,100,936,1.0,-1
27,-1,100,100,783,1.0,-1
45,-1,100,100,734,1.0,-1
81,-1,100,100,818,1.0,-1
97,-1,100,100,986,1.0,-1
34,-1,100,100,752,1.0,-1
47,-1,100,100,809,1.0,-1
73,-1,5,5,1556,1.0,-1
66,-1,5,5,1614,1.0,-1
82,-1,5,5,1494,1.0,-1
106,-1,5,5,1527,1.0,-1
91,-1,5,5,1472,1.0,-1
101,-1,5,5,1479,1.0,-1
105,-1,5,5,1371,1.0,-1
123,-1,5,5,1288,1.0,-1
111,-1,5,5,1110,1.0,-1
103,-1,5,5,1206,1.0,-1
108,-1,5,5,972,1.0,-1
159,-1,5,5,920,1.0,-1
101,-1,10,10,1323,1.0,-1
85,-1,10,10,1338,1.0,-1
54,-1,10,10,1043,1.0,-1
76,-1,10,10,1092,1.0,-1
98,-1,10,10,1293,1.0,-1
103,-1,10,10,1392,1.0,-1
71,-1,10,10,1112,1.0,-1
78,-1,10,10,1105,1.0,-1
48,-1,10,10,1172,1.0,-1
52,-1,10,10,1205,1.0,-1
51,-1,10,10,1064,1.0,-1
64,-1,10,10,1059,1.0,-1
81,-1,20,20,991,1.0,-1
86,-1,20,20,981,1.0,-1
28,-1,20,10,729,1.0,-1
37,-1,20,20,698,1.0,-1
71,-1,20,20,1061,1.0,-1
70,-1,20,20,1098,1.0,-1
28,-1,20,5,823,1.0,-1
35,-1,20,20,839,1.0,-1
75,-1,100,100,829,1.0,-1
88,-1,100,100,947,1.0,-1
