Features,Second Most Features,Actual Value,Detected Value,Total Features,Confidence,Reference Bill Features
202,100,5,5,8480,1.0,43400
74,55,100,100,2272,1.0,12307
108,69,100,100,2363,1.0,12307
66,46,100,100,2245,1.0,12307
156,94,100,100,3936,1.0,50666
129,69,100,100,2882,1.0,12307
170,101,100,100,4264,1.0,50666
102,54,100,100,2691,1.0,12307
67,57,0,5,9169,1.0,43400
59,46,0,5,8838,1.0,43400
36,33,0,5,9428,1.0,21172
261,40,5,5,5159,1.0,21172
23,23,0,50,9491,1.0,53246
33,24,0,100,9522,1.0,12307
57,57,0,10,8571,1.0,9945
65,54,0,10,9061,1.0,64734
30,23,0,50,9499,1.0,53246
34,25,0,10,9239,1.0,9730
54,49,0,5,8554,1.0,21172
70,49,0,5,9028,1.0,21172
34,23,0,10,9322,1.0,9730
26,25,0,5,9759,1.0,21172
161,106,5,5,8432,1.0,43400
62,53,0,5,8468,1.0,43400
60,47,0,5,8930,1.0,21172
28,27,0,50,9851,1.0,53246
42,27,0,10,9263,1.0,9730
53,42,0,10,9629,1.0,9730
69,40,0,10,9440,1.0,9730
40,39,0,100,6812,1.0,50666
52,35,0,10,7186,1.0,9945
52,31,0,10,9066,1.0,9730
55,33,0,10,9153,1.0,9730
426,66,5,5,5589,1.0,21172
39,37,0,10,7031,1.0,9730
48,34,0,10,7470,1.0,9945
50,42,0,10,9410,1.0,9945
54,41,0,10,9148,1.0,9730
46,37,0,10,6815,1.0,9945
44,37,0,10,7210,1.0,18980
41,33,0,10,9435,1.0,18980
37,36,0,5,9369,1.0,21172
44,36,0,10,6766,1.0,42838
33,31,0,10,7133,1.0,42838
308,161,5,5,7970,1.0,43400
72,63,0,10,9234,1.0,9945
49,45,0,10,8866,1.0,18980
31,30,0,5,6815,1.0,21172
38,36,0,10,7564,1.0,80451
60,41,0,10,9335,1.0,42838
59,40,0,10,9467,1.0,18980
31,28,0,10,6861,1.0,64734
50,32,0,5,7266,1.0,21172
58,41,0,10,9355,1.0,9945
42,37,0,10,9002,1.0,9945
275,124,5,5,7236,1.0,43400
38,34,0,10,7231,1.0,9945
44,37,0,10,7682,1.0,64734
75,44,0,20,3495,1.0,38617
