RealValue,TestValue,RansacCount,FlannMatchCount
5,5,265,604
5,5,125,194
100,5,59,122
100,5,71,164
100,5,56,124
100,5,61,154
100,5,51,122
100,5,69,164
100,5,104,308
100,5,65,110
100,5,61,122
100,5,71,157
100,5,61,254
100,5,64,130
100,5,67,175
100,5,80,186
0,5,61,100
0,5,66,107
0,5,74,133
0,5,62,119
0,5,65,122
0,5,63,106
5,5,123,169
5,5,285,569
0,5,50,101
0,5,50,111
0,5,55,95
0,5,56,94
0,5,63,138
0,5,62,117
0,5,75,134
0,5,62,126
0,5,40,102
0,5,51,98
0,5,48,107
0,5,59,131
0,5,44,102
0,5,52,123
0,5,62,111
0,5,58,106
0,5,42,102
0,5,46,99
0,5,43,108
0,5,56,103
5,5,140,414
5,5,123,174
0,5,49,97
0,5,48,91
0,5,50,109
0,5,58,109
0,5,47,101
0,5,54,111
0,5,42,89
0,5,50,97
0,5,51,102
0,5,52,93
0,5,42,107
0,5,51,112
0,5,49,104
0,5,52,93
0,5,55,105
0,5,68,126
0,5,46,116
0,5,41,88
0,5,40,110
0,5,47,105
5,5,146,201
5,5,174,406
0,5,51,94
0,5,49,102
0,5,40,83
0,5,48,109
0,5,52,117
0,5,60,107
0,5,39,99
0,5,49,113
0,5,43,91
0,5,53,102
0,5,50,88
0,5,73,118
0,5,66,122
0,5,66,110
0,5,56,114
0,5,65,112
0,5,54,105
0,5,56,102
0,5,67,114
0,5,62,122
5,5,7970,7970
5,5,126,203
0,5,52,115
0,5,63,106
0,5,49,108
0,5,58,115
0,5,45,94
0,5,55,114
0,5,64,109
0,5,64,123
0,5,47,113
0,5,52,111
0,5,42,107
0,5,55,97
0,5,51,94
0,5,58,97
0,5,47,105
0,5,60,104
0,5,59,122
0,5,64,108
0,5,49,100
0,5,59,107
5,5,413,894
5,5,114,186
0,5,53,103
0,5,63,105
0,5,57,100
0,5,66,106
0,5,41,99
0,5,50,101
0,5,54,108
0,5,59,105
0,5,53,119
0,5,54,92
0,5,38,120
0,5,45,124
0,5,40,130
0,5,50,107
0,5,73,214
0,5,42,157
0,5,48,119
0,5,48,105
0,5,40,123
0,5,56,106
5,5,119,192
5,5,573,945
0,5,36,99
0,5,44,94
0,5,40,107
0,5,51,121
0,5,61,148
0,5,69,120
0,5,74,142
0,5,71,110
0,5,66,160
0,5,57,93
0,5,42,95
0,5,54,126
0,5,64,113
0,5,59,94
0,5,55,138
0,5,54,87
0,5,54,148
0,5,51,103
0,5,53,114
0,5,51,126
5,5,126,204
5,5,3437,3437
0,5,59,121
0,5,51,97
0,5,49,122
0,5,52,102
0,5,27,85
0,5,39,88
0,5,36,109
0,5,42,109
0,5,54,140
0,5,55,131
0,5,50,135
0,5,52,119
0,5,66,134
0,5,57,101
0,5,49,111
0,5,48,93
0,5,31,83
0,5,48,96
0,5,43,135
0,5,44,99
5,5,516,834
5,5,149,198
0,5,42,109
0,5,54,103
0,5,46,135
0,5,63,165
0,5,56,131
0,5,45,94
0,5,47,134
0,5,52,109
0,5,60,169
0,5,48,139
0,5,30,112
0,5,42,112
0,5,40,124
0,5,49,101
0,5,46,123
0,5,55,97
0,5,55,128
0,5,63,104
5,5,209,566
5,5,138,182
5,5,141,206
5,5,464,718
5,5,129,184
5,5,311,550
10,5,156,387
10,5,114,161
10,5,116,277
10,5,115,162
10,5,140,191
10,5,125,229
10,5,128,172
10,5,111,179
10,5,74,155
10,5,79,131
10,5,81,154
10,5,86,139
10,5,94,172
10,5,71,138
10,5,78,149
10,5,77,132
20,5,126,407
20,5,81,140
20,5,76,172
20,5,73,183
20,5,79,175
20,5,76,180
20,5,87,292
20,5,77,153
20,5,118,359
20,5,86,157
20,5,78,307
20,5,84,140
20,5,70,135
20,5,85,189
20,5,79,136
20,5,76,142
50,5,89,277
50,5,71,122
50,5,72,300
50,5,68,136
50,5,76,151
50,5,103,194
50,5,69,168
50,5,82,168
50,5,75,318
50,5,76,137
50,5,61,251
50,5,77,140
50,5,72,142
50,5,93,182
50,5,78,182
50,5,78,168
50,5,92,326
50,5,71,140
50,5,66,294
50,5,77,152
50,5,68,145
50,5,86,202
50,5,80,163
50,5,88,178
50,5,104,368
50,5,75,135
50,5,76,260
50,5,84,167
50,5,72,124
50,5,87,186
50,5,74,159
50,5,88,172
50,5,79,302
50,5,76,153
50,5,62,224
50,5,78,140
50,5,66,134
50,5,94,197
50,5,78,163
50,5,85,175
100,5,84,330
100,5,86,147
100,5,79,242
100,5,87,152
100,5,63,147
100,5,94,193
100,5,84,147
100,5,87,189
100,5,103,345
100,5,84,139
100,5,70,244
100,5,88,144
100,5,69,133
100,5,83,191
100,5,73,131
100,5,88,166
5,5,221,552
5,5,79,136
5,5,136,398
5,5,82,131
5,5,83,151
5,5,263,488
5,5,89,158
5,5,150,383
5,5,478,738
5,5,66,135
5,5,199,502
5,5,83,170
5,5,97,159
5,5,439,670
5,5,78,128
5,5,274,525
5,5,1275,1602
5,5,82,156
5,5,367,814
5,5,87,172
5,5,85,184
5,5,1097,1269
5,5,71,165
5,5,452,822
10,5,103,361
10,5,84,144
10,5,94,283
10,5,80,139
10,5,90,146
10,5,108,185
10,5,89,143
10,5,82,161
10,5,100,322
10,5,83,129
10,5,87,272
10,5,83,143
10,5,86,138
10,5,68,182
10,5,75,137
10,5,76,147
10,5,82,158
10,5,76,126
10,5,78,153
10,5,63,133
10,5,60,119
10,5,67,129
10,5,75,133
10,5,80,133
20,5,133,381
20,5,72,131
20,5,72,270
20,5,79,139
20,5,81,131
20,5,93,194
20,5,69,186
20,5,80,187
20,5,114,364
20,5,60,121
20,5,61,287
20,5,69,118
20,5,66,121
20,5,78,170
20,5,52,106
20,5,66,134
100,5,92,334
100,5,67,116
100,5,52,260
100,5,67,132
5,10,78,243
5,10,86,123
100,10,68,120
100,10,75,159
100,10,76,139
100,10,79,159
100,10,75,122
100,10,91,174
100,10,104,256
100,10,82,123
100,10,60,115
100,10,72,149
100,10,85,196
100,10,95,143
100,10,79,252
100,10,88,207
0,10,78,127
0,10,86,119
0,10,89,124
0,10,89,127
0,10,79,113
0,10,89,123
5,10,95,141
5,10,101,176
0,10,72,117
0,10,71,107
0,10,69,119
0,10,77,110
0,10,72,121
0,10,68,107
0,10,79,128
0,10,74,123
0,10,54,100
0,10,56,98
0,10,63,106
0,10,59,105
0,10,52,105
0,10,55,83
0,10,75,107
0,10,82,116
0,10,58,104
0,10,54,93
0,10,57,97
0,10,55,93
5,10,94,214
5,10,95,132
0,10,61,108
0,10,58,87
0,10,64,103
0,10,67,110
0,10,49,94
0,10,60,91
0,10,52,91
0,10,46,86
0,10,60,113
0,10,61,104
0,10,53,103
0,10,55,81
0,10,67,108
0,10,60,109
0,10,80,111
0,10,77,120
0,10,57,104
0,10,53,96
0,10,51,99
0,10,49,93
5,10,138,186
5,10,112,164
0,10,61,95
0,10,58,97
0,10,70,107
0,10,56,96
0,10,66,108
0,10,61,96
0,10,59,92
0,10,60,91
0,10,73,115
0,10,64,104
0,10,74,123
0,10,80,131
0,10,86,140
0,10,79,117
0,10,70,130
0,10,69,109
0,10,69,98
0,10,58,103
0,10,77,120
0,10,71,118
5,10,138,332
5,10,124,168
0,10,73,109
0,10,76,123
0,10,68,112
0,10,68,102
0,10,64,124
0,10,68,109
0,10,72,121
0,10,79,115
0,10,67,113
0,10,64,97
0,10,59,107
0,10,66,102
0,10,75,105
0,10,62,106
0,10,83,122
0,10,69,116
0,10,81,116
0,10,79,119
0,10,65,111
0,10,62,95
5,10,124,266
5,10,137,184
0,10,77,123
0,10,71,101
0,10,76,121
0,10,85,114
0,10,53,113
0,10,54,92
0,10,63,114
0,10,55,95
0,10,67,120
0,10,72,113
0,10,60,117
0,10,50,104
0,10,47,115
0,10,47,94
0,10,51,199
0,10,226,366
0,10,67,115
0,10,56,95
0,10,56,102
0,10,63,118
5,10,96,154
5,10,121,176
0,10,53,110
0,10,53,103
0,10,58,112
0,10,58,111
0,10,94,153
0,10,93,149
0,10,93,150
0,10,95,130
0,10,70,173
0,10,65,114
0,10,65,108
0,10,56,108
0,10,85,120
0,10,85,123
0,10,76,135
0,10,68,99
0,10,62,133
0,10,66,102
0,10,74,115
0,10,72,102
5,10,113,154
5,10,124,208
0,10,75,116
0,10,77,116
0,10,74,113
0,10,74,110
0,10,33,80
0,10,38,80
0,10,47,105
0,10,40,86
0,10,72,142
0,10,64,118
0,10,79,131
0,10,77,120
0,10,81,156
0,10,82,128
0,10,71,132
0,10,77,117
0,10,50,109
0,10,41,90
0,10,55,121
0,10,54,100
5,10,193,356
5,10,182,214
0,10,57,113
0,10,59,104
0,10,56,126
0,10,65,120
0,10,63,128
0,10,58,96
0,10,61,114
0,10,55,97
0,10,40,122
0,10,41,109
0,10,45,115
0,10,47,89
0,10,65,128
0,10,52,120
0,10,65,114
0,10,59,105
0,10,65,127
0,10,66,110
5,10,162,306
5,10,135,183
5,10,164,243
5,10,186,247
5,10,179,220
5,10,211,257
10,10,5263,5263
10,10,189,222
10,10,249,620
10,10,210,244
10,10,194,250
10,10,4195,4195
10,10,191,243
10,10,261,662
10,10,102,167
10,10,109,146
10,10,104,171
10,10,108,153
10,10,127,172
10,10,112,161
10,10,88,165
10,10,89,140
20,10,124,308
20,10,98,165
20,10,104,193
20,10,132,238
20,10,107,165
20,10,102,195
20,10,102,265
20,10,104,159
20,10,103,272
20,10,98,136
20,10,112,279
20,10,105,156
20,10,83,137
20,10,87,189
20,10,107,152
20,10,103,183
50,10,97,272
50,10,80,115
50,10,90,242
50,10,84,124
50,10,101,146
50,10,109,194
50,10,88,168
50,10,91,155
50,10,93,273
50,10,92,131
50,10,100,226
50,10,84,152
50,10,91,159
50,10,107,190
50,10,107,173
50,10,86,156
50,10,91,275
50,10,77,113
50,10,78,226
50,10,90,140
50,10,97,149
50,10,102,181
50,10,103,180
50,10,88,173
50,10,112,290
50,10,88,140
50,10,90,209
50,10,99,149
50,10,82,130
50,10,110,172
50,10,98,157
50,10,110,167
50,10,96,293
50,10,87,133
50,10,96,232
50,10,84,136
50,10,86,128
50,10,98,175
50,10,84,155
50,10,97,168
100,10,121,310
100,10,112,155
100,10,100,241
100,10,116,166
100,10,91,153
100,10,108,190
100,10,99,155
100,10,103,192
100,10,104,279
100,10,85,135
100,10,90,209
100,10,94,158
100,10,103,143
100,10,106,225
100,10,96,147
100,10,108,176
5,10,121,273
5,10,116,159
5,10,125,225
5,10,113,155
5,10,119,149
5,10,148,227
5,10,111,167
5,10,117,187
5,10,102,304
5,10,87,131
5,10,107,262
5,10,112,156
5,10,131,177
5,10,112,197
5,10,104,155
5,10,110,168
5,10,120,293
5,10,115,148
5,10,116,238
5,10,117,161
5,10,117,223
5,10,134,202
5,10,98,153
5,10,95,170
10,10,1301,1577
10,10,127,168
10,10,257,605
10,10,125,178
10,10,112,175
10,10,1212,1377
10,10,103,163
10,10,281,630
10,10,1219,1478
10,10,106,145
10,10,239,584
10,10,120,172
10,10,108,172
10,10,1223,1401
10,10,93,150
10,10,313,609
10,10,98,165
10,10,104,140
10,10,97,156
10,10,99,143
10,10,87,137
10,10,89,150
10,10,90,134
10,10,89,138
20,10,90,275
20,10,91,127
20,10,92,233
20,10,82,133
20,10,86,137
20,10,94,195
20,10,95,155
20,10,85,151
20,10,106,268
20,10,98,137
20,10,88,214
20,10,93,134
20,10,91,136
20,10,91,174
20,10,72,144
20,10,84,162
100,10,137,302
100,10,80,122
100,10,76,214
100,10,69,119
5,20,85,262
5,20,56,100
100,20,75,134
100,20,74,214
100,20,79,155
100,20,68,159
100,20,74,115
100,20,98,217
100,20,145,354
100,20,95,130
100,20,77,130
100,20,93,166
100,20,85,259
100,20,84,120
100,20,77,171
100,20,89,201
0,20,92,129
0,20,78,113
0,20,79,126
0,20,89,116
0,20,87,134
0,20,86,121
5,20,56,112
5,20,68,163
0,20,82,124
0,20,84,111
0,20,87,123
0,20,74,95
0,20,72,120
0,20,65,106
0,20,65,116
0,20,63,123
0,20,63,117
0,20,53,88
0,20,74,120
0,20,62,112
0,20,69,115
0,20,65,105
0,20,62,118
0,20,82,115
0,20,64,115
0,20,52,85
